id;i_d;name;surname;phone;vehicule_type;latitude;longitude
1;21627;Pa'anga Steel;reinvent encoding;+33 776843;unleash;65101;86761
2;84928;paradigms invoice;Licensed c;+33 627933;Pula;18348;41820
3;75306;Administrateur Molière Account;invoice virtual;+33 510910;Table withdrawal;52945;75883
4;97462;Cambridgeshire;Samoa Technicien Borders;0382337026;Ergonomic;44410;83049
5;57919;Awesome cross-media hack;revolutionary Business-focused Home;0182032425;Practical Rustic;28433;94463
6;5960;ROI bandwidth;Small;0783067594;silver;43911;58319
7;33990;a;connecting leverage;0249738262;Oberkampf auxiliary;55884;9614
8;34234;disintermediate Unbranded Checking;mobile programming Savings;+33 234420;actuating Ergonomic;80488;25562
9;9690;a Île-de-France Kina;Mauritanie Sud;+33 604578;SQL GB magnetic;85809;69137
10;17696;Pérou Auvergne;a Executif Concrete;+33 725164;navigating;65556;84452
